pert_name	n_signatures	min_score	median_score	mean_score	best_fdr_q_nlog10	best_cell	moa	targets	direction
BRD-K06884091	6	0	0	0.11643333333333333	-0	VCAP	-666		positive_or_zero
BRD-K06884108	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K06886551	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06898969	2	0	0.56895	0.56895	-0	PC3	-666		positive_or_zero
BRD-K06900263	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K06905668	2	0	0.3624	0.3624	-0	VCAP	-666		positive_or_zero
BRD-K06912584	2	0	0.44385	0.44385	-0	VCAP	-666		positive_or_zero
BRD-K06935006	4	0	0.4742	0.52015	-0	A549	-666		positive_or_zero
BRD-K06956443	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K06992369	3	0	0	0	-0	HT29	-666		positive_or_zero
BRD-K07025286	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07029108	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07035171	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07063907	4	0	0	0.29255	-0	VCAP	-666		positive_or_zero
BRD-K07105437	4	0	0.9659500000000001	0.800725	-0	VCAP	-666		positive_or_zero
BRD-K07107626	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K07129792	3	0	0	0	-0	A549	-666		positive_or_zero
BRD-K07160586	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07184814	2	0	0.53225	0.53225	-0	MCF7	-666		positive_or_zero
BRD-K07197565	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K07223205	2	0	0.37685	0.37685	-0	NPC	-666		positive_or_zero
BRD-K07230804	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07250107	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K07274638	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07278381	2	0	0.4356	0.4356	-0	U2OS	-666		positive_or_zero
BRD-K07291429	4	0	0.443	0.5406	-0	MCF7	-666		positive_or_zero
BRD-K07313741	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07315344	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K07327532	3	0	0.8248	0.5994666666666667	-0	HEPG2	-666		positive_or_zero
BRD-K07329815	2	0	0	0	-0	MCF7	-666		positive_or_zero
BRD-K07348252	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07359994	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K07360484	5	0	0	0.34850000000000003	-0	HT29	-666		positive_or_zero
BRD-K07382790	4	0	0.36625	0.44899999999999995	-0	VCAP	-666		positive_or_zero
BRD-K07384081	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07385991	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07390518	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07396550	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07396820	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07400331	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K07408742	2	0	0.69265	0.69265	-0	U2OS	-666		positive_or_zero
BRD-K07426711	2	0	0.565	0.565	-0	U2OS	-666		positive_or_zero
BRD-K07438795	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07442049	3	0	0	0.439	-0	VCAP	-666		positive_or_zero
BRD-K07452532	10	0	0.37945	0.46137	-0	A549	-666		positive_or_zero
BRD-K07458582	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K07460436	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07462139	2	0	0.3676	0.3676	-0	U2OS	-666		positive_or_zero
BRD-K07473223	2	0	0.6742	0.6742	-0	U2OS	-666		positive_or_zero
BRD-K07476637	2	0	0	0	-0	A549	-666		positive_or_zero
BRD-K07476834	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K07479774	2	0	0.49375	0.49375	-0	U2OS	-666		positive_or_zero
BRD-K07482874	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07484899	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07485506	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07489055	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07489121	2	0	0.52895	0.52895	-0	U2OS	-666		positive_or_zero
BRD-K07496812	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07497357	2	0	0.5502	0.5502	-0	VCAP	-666		positive_or_zero
BRD-K07501194	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07508147	2	0	0	0	-0	PC3	-666		positive_or_zero
BRD-K07525144	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07540687	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07558380	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K07568447	3	0	0.8778	0.6572	-0	U2OS	-666		positive_or_zero
BRD-K07577534	2	0	0.44145	0.44145	-0	VCAP	-666		positive_or_zero
BRD-K07613753	4	0	0	0.23895	-0	VCAP	-666		positive_or_zero
BRD-K07625901	3	0	0	0.4236	-0	A549	-666		positive_or_zero
BRD-K07634536	4	0	0.5357	0.577575	-0	A375	-666		positive_or_zero
BRD-K07666543	6	0	0	0.13163333333333332	-0	VCAP	-666		positive_or_zero
BRD-K07755570	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07762528	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07781799	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07781811	1	0	0	0	-0	HUH7	-666		positive_or_zero
BRD-K07807999	3	0	0.8209	0.6012	-0	U2OS	-666		positive_or_zero
BRD-K07809895	2	0	0.35125	0.35125	-0	VCAP	-666		positive_or_zero
BRD-K07812227	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07820537	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K07826724	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07839394	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K07852185	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K07921357	2	0	0	0	-0	PC3	-666		positive_or_zero
BRD-K07935321	2	0	0	0	-0	A375	-666		positive_or_zero
BRD-K07967120	2	0	0.606	0.606	-0	U2OS	-666		positive_or_zero
BRD-K07981644	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08005469	4	0	0	0.269275	-0	A375	-666		positive_or_zero
BRD-K08014780	5	0	0	0.34704	-0	A549	-666		positive_or_zero
BRD-K08043024	3	0	0	0.3606666666666667	-0	VCAP	-666		positive_or_zero
BRD-K08075712	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08094365	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K08110534	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K08111712	3	0	0.8258	0.6886	-0	PC3	Protein synthesis inhibitor		positive_or_zero
BRD-K08113936	1	0	0	0	-0	U2OS	-666		positive_or_zero
