mature_mirna_id	n_targets_total	n_targets_BROAD	n_targets_PPI_core	n_hits_TOP2A	n_hits_PARP1	hits_any_core_hub	hits_TOP2A_or_PARP1	logFC	adj.P.Val
hsa-miR-4684-5p	7	7	0	0	0	FALSE	FALSE	1.007881239700001	0.01935472006512204
hsa-miR-5010-3p	7	7	0	0	0	FALSE	FALSE	-8.465301107399997	2.554030245023419e-6
hsa-miR-205-3p	6	6	0	0	0	FALSE	FALSE	1.692592771500001	0.0036197761969113
hsa-miR-3156-3p	6	6	0	0	0	FALSE	FALSE	-13.132012813	1.2593530388002148e-6
hsa-miR-620	6	6	0	0	0	FALSE	FALSE	2.264744018000002	0.00264734087617379
hsa-miR-2114-5p	5	5	0	0	0	FALSE	FALSE	-2.917351824899999	1.5828663705997565e-8
hsa-miR-3650	5	5	0	0	0	FALSE	FALSE	-5.478286346899997	1.6499130689371576e-5
hsa-miR-4518	5	5	0	0	0	FALSE	FALSE	1.591290124300004	0.00179365288535189
hsa-miR-4639-3p	5	5	0	0	0	FALSE	FALSE	-5.806111521099998	3.441485044635267e-5
hsa-miR-5000-5p	5	5	0	0	0	FALSE	FALSE	-1.0862211731999991	0.0018501072083388
hsa-miR-5704	5	5	0	0	0	FALSE	FALSE	-27.6251521879	6.307053289143084e-6
hsa-miR-642b-5p	5	5	0	0	0	FALSE	FALSE	-12.038532322399998	1.2367901096187298e-6
hsa-miR-657	5	5	0	0	0	FALSE	FALSE	-1.0643279797999998	8.034473531407267e-10
hsa-miR-2113	4	4	0	0	0	FALSE	FALSE	-7.915773968599996	5.164977553521348e-6
hsa-miR-2392	4	4	0	0	0	FALSE	FALSE	3.9942212181000007	7.906424270034971e-6
hsa-miR-302c-5p	4	4	0	0	0	FALSE	FALSE	-2.575277578699999	0.01007407837309673
hsa-miR-3121-5p	4	4	0	0	0	FALSE	FALSE	-2.174342319199999	2.198847331364307e-5
hsa-miR-3161	4	4	0	0	0	FALSE	FALSE	-6.477967729799998	6.800110287604098e-5
hsa-miR-3663-5p	4	4	0	0	0	FALSE	FALSE	-2.6924498588999985	2.515380662217995e-5
hsa-miR-4301	4	4	0	0	0	FALSE	FALSE	-4.5434378643999995	2.8250452936223167e-8
hsa-miR-4700-5p	4	4	0	0	0	FALSE	FALSE	1.9993567608000016	2.7076098115113752e-6
hsa-miR-4716-5p	4	4	0	0	0	FALSE	FALSE	-1.3987586609999996	5.790922515209129e-6
hsa-miR-4753-5p	4	4	0	0	0	FALSE	FALSE	1.2339651982000015	1.2703000003375176e-4
hsa-miR-556-3p	4	4	0	0	0	FALSE	FALSE	-1.2083986330999998	0.0018501072083388
hsa-miR-1183	3	3	0	0	0	FALSE	FALSE	2.6258314234000033	0.00329332823935684
hsa-miR-1244	3	3	0	0	0	FALSE	FALSE	3.1493451556000016	3.306634325531502e-5
hsa-miR-1247-5p	3	3	0	0	0	FALSE	FALSE	-3.1387160878	7.088494546884646e-6
hsa-miR-135a-3p	3	3	0	0	0	FALSE	FALSE	1.0124704975000005	2.78523483775732e-7
hsa-miR-3125	3	3	0	0	0	FALSE	FALSE	1.2228694495000003	8.083802182899219e-4
hsa-miR-3164	3	3	0	0	0	FALSE	FALSE	1.315635406600001	3.8035882225060465e-8
hsa-miR-3664-5p	3	3	0	0	0	FALSE	FALSE	-1.286168748099999	1.0369009282163608e-4
hsa-miR-378b	3	3	0	0	0	FALSE	FALSE	1.028320605900001	0.04600723008795787
hsa-miR-3915	3	3	0	0	0	FALSE	FALSE	1.9478917530000024	1.6086320116862768e-4
hsa-miR-4426	3	3	0	0	0	FALSE	FALSE	3.3788161841000024	8.17121410520966e-6
hsa-miR-4455	3	3	0	0	0	FALSE	FALSE	-13.122098006999996	0.01320582433594302
hsa-miR-4464	3	3	0	0	0	FALSE	FALSE	3.1872040705000013	0.00268394250451796
hsa-miR-4644	3	3	0	0	0	FALSE	FALSE	1.1558132758000017	3.296396403092174e-4
hsa-miR-4680-3p	3	3	0	0	0	FALSE	FALSE	1.946120620000001	2.1389939911357385e-5
