gene	degree	betweenness	closeness	eigenvector	logFC_human	direction	is_hub	is_bottleneck	hub_type
TRIP13	38	7.624976310611476e-4	0.3184855233853007	0.6798694242674503	2.9288349386484875	up	FALSE	FALSE	none
TSPAN33	2	0	0.18619791666666666	1.2229364332379439e-5	-2.1074660126727287	down	FALSE	FALSE	none
TTK	54	0.003594081945326946	0.34292565947242204	0.9020112289994763	3.924942984636365	up	TRUE	FALSE	hub
TUBG1	6	0.00427168172040736	0.29065040650406504	0.0508526546427985	2.434006945430305	up	FALSE	FALSE	none
UBE2E3	2	0	0.2595281306715064	0.01456108922273585	1.5441097516363642	up	FALSE	FALSE	none
UBE2S	14	6.442706435912861e-4	0.3055555555555556	0.1678470415522158	3.1503106371454583	up	FALSE	FALSE	none
UCHL1	4	0.030061146080565176	0.22	1.2183213583991367e-4	-1.7493891265242445	down	FALSE	TRUE	bottleneck
UCHL3	4	0	0.23714759535655058	0.002491019789497082	1.5101709099757583	up	FALSE	FALSE	none
USP1	10	0.023522922111690315	0.2782101167315175	0.054434041327954694	1.594136308448485	up	FALSE	TRUE	bottleneck
USP14	12	0.04942558300250001	0.26779026217228463	0.002793417127015109	1.0217412383454547	up	FALSE	TRUE	bottleneck
USP18	6	0	0.17044100119189512	6.576702133831543e-6	2.34329883898182	up	FALSE	FALSE	none
VAMP1	4	0.006348922471608692	0.17763975155279504	1.3252487251146951e-5	-1.082912342375758	down	FALSE	FALSE	none
VAMP2	6	0.018867924528301886	0.21503759398496242	3.0387923778725084e-4	-4.381690451642429	down	FALSE	FALSE	none
WDR74	10	0.0018733792363408745	0.5	0	1.6149883149818205	up	FALSE	FALSE	none
WNT5B	4	4.4710721631047124e-5	1	0	-1.3116010604242438	down	FALSE	FALSE	none
YWHAG	4	6.967388424626218e-4	0.2744721689059501	0.03935347003465265	1.680596865575759	up	FALSE	FALSE	none
ZNF451	2	0	0.26779026217228463	0.04090022804810582	2.1391393245090926	up	FALSE	FALSE	none
ZW10	12	0.01579935447524646	0.29545454545454547	0.15259633360486302	1.2017341771696977	up	FALSE	FALSE	none
ZWINT	56	0.021199967194961127	0.34541062801932365	0.8169979306419821	1.0584478963818185	up	TRUE	FALSE	hub
